,Alpha,R2,^FCHI,^GDAXI,^GSPC,^FTSE,^SSMI,^STOXX50E
BE0058182792,3.903022660470924e-05,0.8685317578418886,0.19325990235058949,0.20862978679408062,0.04754168865547753,-0.02877601576318256,0.13467060539577488,0.35756003761566635
BE0058652646,-7.113256530358447e-05,0.695650647896062,-0.09603348863436732,0.013302709336385277,0.6130994461961032,-0.09275674963154067,0.15856917508239965,0.21724093339893671
BE0947764743,-0.00018036555519114836,0.6342451432500049,0.16922022550910504,0.05989263127104966,0.27742639451200346,0.2850447080325267,0.15504875490951237,-0.15628302100486594
DE0007045437,7.914269688459846e-05,0.7777908994616879,0.08623531296939792,0.2156362160793998,0.0351535734417934,0.026694718145690466,0.40985625850934515,0.11134958777032572
DE0008478082,-7.228336348738472e-05,0.026591141533439666,0.026106319118647095,0.025222834051967628,0.025683869071996986,-0.08454978839065706,0.05866047014781843,-0.025590180120643093
DE0009769869,-3.3093468068819425e-05,0.47777298355617137,0.42832885949634447,0.7719367227926481,0.02683447411572945,0.03007585997383963,-0.14669892974349452,-0.3115268555572586
DE000A0D95Q0,8.295993506944968e-07,0.6224714881544047,0.033870096478608995,0.05660240263245209,0.10969373704484903,0.0068176060187513585,0.06548636550488482,-0.034403100254959774
DE000A0X7541,-4.861528402530388e-05,0.677238553890323,0.006362143016043264,0.15023572761388115,0.31692510049420497,0.07288395075636517,0.09399155715137691,-0.026692361774580647
FR0000003998,8.169460306464929e-05,0.9139249674338604,0.4480141406992761,0.33512631862422254,0.013233226524199906,0.09659843751196764,-0.014913013141924808,0.04790942741371629
FR0000004970,3.678330420239627e-05,0.9143279621373029,0.34164874083325586,0.3129268619355003,0.02165681437261066,0.02832688853860052,-0.002986518475233152,0.2785612187428398
FR0000008674,-0.00010424434777170914,0.8593926564705507,0.3044219305231183,0.2847443102188208,0.03595223028213966,0.10079513174148871,0.17205133739981385,0.06358793415328778
FR0000017329,4.254190752917908e-05,0.9130211466862342,0.3873195569936825,0.312504882927536,0.024363393514671428,0.012718531177058068,0.06783334977224637,0.1431104024119752
FR0000097503,-0.00010700468058925953,0.025716188411567642,0.021197443193552375,0.018251049798139074,0.026455856435611543,-0.08220077016262926,0.06617144067440191,-0.019393058426876518
FR0000098683,-2.433478342920958e-05,0.40972610548579114,-0.007056410494826,0.013786404458925344,0.30812128332187966,-0.005408348164828748,0.015333762358734668,0.04556598539016704
FR0000170516,-0.00018296798698839536,0.6095156211670731,0.2539123360795966,0.4361246202569614,0.006034013833222357,-0.07026606826228138,0.17511962675898318,-0.048878428842791366
FR0000172041,-0.00024314029276764257,0.4107144166278558,0.4435638000994316,0.412749460920512,0.04563471178693629,0.1416961755518151,0.12852468271761366,-0.35780457961915824
FR0000172066,6.197637052871699e-05,0.9211278456686378,0.9297298007385411,0.048352902717622936,-0.0035752843134557594,0.04263690122129039,0.013038775111044452,-0.0574370408335656
FR0000284150,-1.9707694130359466e-05,0.3414504818912367,0.16977315937669865,-0.03383804242764518,0.1449949370280574,0.24853593866232726,-0.07961955556320281,0.11073888741981386
FR0000284689,-4.03832203794713e-05,0.6426146098496214,0.007267953768840616,-0.08814008580299854,0.4454025648861381,-0.05370943813278702,0.19146319551837887,0.1846815918971818
FR0000292278,-0.00016625107587571174,0.28059626073803157,0.05373961031892565,0.04157338188414483,0.15476156119663398,0.2747510251126323,-0.04041099938211507,0.03873241335044472
FR0000295230,-4.837968160226308e-05,0.7725870831574878,0.2775066648605091,0.04462039905117765,0.09441216402213654,-0.17996747604200286,0.3552244649800669,0.2919946113040909
FR0000299356,-4.39214972488327e-06,0.714476163381646,0.12019928591212234,0.3595980885980883,0.025490772135066744,0.12381310876250778,0.2856139871026055,-0.023861256213559168
FR0000422859,-5.035124207598859e-05,0.707928308635867,0.3458900761077741,0.3766664520953418,0.059792426305851146,0.06502455392363167,-0.002097735443177068,-0.03293024802862246
FR0000427809,4.453162047470322e-05,0.8869646244892007,0.3602354109692172,0.38098464713597496,0.007397868895796994,0.33677622362811677,-0.03251961478705068,-0.07419612714444229
FR0000428732,-0.00016085523452809346,0.5110358791484028,0.22707462832739533,0.29850805923875257,0.08332237407293407,0.04174615298727688,0.08853812516054123,-0.12171510785533557
FR0000431538,-0.002306427145965809,0.015555767121751662,-0.055490045493102956,-1.3533252437364955,1.1874588096497565,-0.0869816177772875,0.07867021191135434,1.153972272180666
FR0000437113,-2.5843431388637326e-06,0.904290142457626,0.350841274583772,0.3822894045576864,0.01239675215025099,0.12103648088813612,0.025934467570558534,0.019800600855719663
FR0000438905,-2.091054853492339e-05,0.7911963905095422,0.02205654640599067,0.05930989914116169,0.666079080765172,0.05576116202538002,0.10428921732549207,-0.04909544888175635
FR0000444275,-8.152333566006817e-05,0.6915394639216734,0.215457638659792,0.3638981234227495,0.01908630651662796,0.046215029784527156,0.22896429336611612,-0.053729532083450604
FR0000447864,8.294104749887192e-05,0.771184992036559,0.7635990632328437,0.14739563235622302,-0.06496547331168338,-0.0970887022179713,0.06400241803400075,-0.04998758769419491
FR0000448847,-9.539441875459882e-05,0.7992792448487255,0.3408458871650501,0.453434903399859,0.0420641660048984,0.05507745376114606,0.044092824096626265,-0.06506804258770588
FR0000944696,-4.179844872355752e-05,0.919481636583543,0.9147604766553065,0.06286907579606477,-0.0038239914926609404,0.018399630726186632,0.008007699889827122,-0.05344999826962381
FR0000970949,-6.576060609480281e-05,0.7382772888439593,0.09065050722473468,0.14988204651390719,0.38681706497150026,0.046972226226323854,0.1979924316777811,-0.020384228872814658
FR0000971293,-6.191187612984985e-05,0.03506583485313908,0.01769974455023203,0.008907913780324512,0.03073709319147,-0.097836341003882,0.07077523657254214,-0.0022433957493474487
FR0000974149,-0.00015996967594853736,0.776724551936373,0.3726764464529531,0.44848457958613736,0.09827652636424941,-0.05337242294385758,0.15648160814756187,-0.09754783583711307
FR0000975880,1.3842855823089826e-05,0.912722113031909,0.9539872312481255,0.12477664978926425,0.018580908200078954,-0.07533346838349628,0.021406727064974377,-0.07196292166415724
FR0000980427,3.093133662122148e-05,0.7755385118053744,0.23215943589302648,0.09764577582905774,0.05293397497106563,0.04721851316829321,0.011241202184236836,-0.042822761303936745
FR0000982449,-7.069639528387784e-05,0.7866554018478834,0.23194106968420436,0.4286464295481952,0.057338354554213586,0.023692141190636146,0.14562566716537467,0.038344819137151986
